ID;Symbol;Data;Czas;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
0;CB.F;2024-02-16;11:43:04;82.800;82.880;81.930;82.160
1;CU.F;2024-02-15;23:00:00;804.500;804.500;804.500;804.500
2;NG.F;2024-02-16;11:42:17;1.587;1.606;1.579;1.587
3;Q0.F;2024-02-15;23:00:00;16195.000;16305.000;16094.500;16094.500
4;CT.F;2024-02-16;11:43:11;94.560;95.050;94.520;94.870
5;SI.F;2024-02-16;11:42:28;2297.700;2307.300;2293.800;2306.200
6;HGPLN.F;2024-02-16;11:43:16;1515.230;1530.180;1514.980;1528.870
7;OJ.F;2024-02-15;23:00:00;354.750;365.450;353.950;362.600
8;KE.F;2024-02-15;23:00:00;584.250;585.250;568.250;570.000
9;NG.F;2024-02-16;11:42:17;1.587;1.606;1.579;1.587
10;CT.F;2024-02-16;11:43:15;94.560;95.050;94.520;94.870
11;PA.F;2024-02-16;11:43:16;956.250;961.530;938.000;944.500
12;GC.F;2024-02-16;11:43:20;2015.600;2018.550;2013.950;2018.300
